Time [sec],Temperature [C],T Setpoint [C],heat flux [kW/m²],HF setpoint [kW/m²],duty cycle [-],"control mode [1=T, 0=HF]",TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,errors,Energy dose [kJ/m²]
0,21.663193,20,-0.073831,0,19.377127,1,2293.713579,2293.713579,2293.713579,2293.713579,2293.713579,2293.713579,2293.713579,2293.713579,2293.713579,2293.713579,2293.713579,2293.713579,0,-0.0928645
1,21.664813,22.395833,-0.111898,0.125,21.73724,1,2293.705512,2293.705512,2293.705512,2293.705512,2293.705512,2293.705512,2293.705512,2293.705512,2293.705512,2293.705512,2293.705512,2293.705512,0,-0.0357645
2,21.699746,24.789271,0.040369,0.249875,24.2362,1,2293.700134,2293.700134,2293.700134,2293.700134,2293.700134,2293.700134,2293.700134,2293.700134,2293.700134,2293.700134,2293.700134,2293.700134,0,0.135536
3,21.789502,27.185104,0.230703,0.374875,26.836262,1,2293.714923,2293.714923,2293.714923,2293.714923,2293.714923,2293.714923,2293.714923,2293.714923,2293.714923,2293.714923,2293.714923,2293.714923,0,0.3639365
4,21.953728,29.580938,0.49717,0.499875,29.511508,1,2293.707753,2293.707753,2293.707753,2293.707753,2293.707753,2293.707753,2293.707753,2293.707753,2293.707753,2293.707753,2293.707753,2293.707753,0,0.249736
5,22.141981,31.979167,0.002302,0.625,32.240424,1,2293.703719,2293.703719,2293.703719,2293.703719,2293.703719,2293.703719,2293.703719,2293.703719,2293.703719,2293.703719,2293.703719,2293.703719,0,0.002302
6,22.378987,34.375,0.002302,0.75,35.066295,1,2293.71089,2293.71089,2293.71089,2293.71089,2293.71089,2293.71089,2293.71089,2293.71089,2293.71089,2293.71089,2293.71089,2293.71089,0,0.1165025
7,22.658705,36.770833,0.230703,0.875,37.964702,1,2293.709097,2293.709097,2293.709097,2293.709097,2293.709097,2293.709097,2293.709097,2293.709097,2293.709097,2293.709097,2293.709097,2293.709097,0,0.078436
8,22.994969,39.166667,-0.073831,1,40.939145,1,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,0,0.173603
9,23.387726,41.5625,0.421037,1.125,43.97206,1,2293.712234,2293.712234,2293.712234,2293.712234,2293.712234,2293.712234,2293.712234,2293.712234,2293.712234,2293.712234,2293.712234,2293.712234,0,0.230703
