Time [sec],Temperature [C],T Setpoint [C],heat flux [kW/m²],HF setpoint [kW/m²],duty cycle [-],"control mode [1=T, 0=HF]",TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,errors,Energy dose [kJ/m²]
0,25.569133,722,0.421037,45,100,1,2293.708649,2293.708649,2293.708649,2293.708649,2293.708649,2293.708649,2293.708649,2293.708649,2293.708649,2293.708649,2293.708649,2293.708649,0,0.2497365
1,25.562908,722,0.078436,45,100,1,2293.731953,2293.731953,2293.731953,2293.731953,2293.731953,2293.731953,2293.731953,2293.731953,2293.731953,2293.731953,2293.731953,2293.731953,0,-0.016731
2,25.675633,722,-0.111898,45,100,1,2293.712682,2293.712682,2293.712682,2293.712682,2293.712682,2293.712682,2293.712682,2293.712682,2293.712682,2293.712682,2293.712682,2293.712682,0,0.135536
3,26.013968,722,0.38297,45,100,1,2293.708201,2293.708201,2293.708201,2293.708201,2293.708201,2293.708201,2293.708201,2293.708201,2293.708201,2293.708201,2293.708201,2293.708201,0,0.38297
4,26.613859,722,0.38297,45,100,1,2293.700134,2293.700134,2293.700134,2293.700134,2293.700134,2293.700134,2293.700134,2293.700134,2293.700134,2293.700134,2293.700134,2293.700134,0,0.2687695
5,27.410888,722,0.154569,45,100,1,2293.711786,2293.711786,2293.711786,2293.711786,2293.711786,2293.711786,2293.711786,2293.711786,2293.711786,2293.711786,2293.711786,2293.711786,0,0.135536
6,28.398402,722,0.116503,45,100,1,2293.708649,2293.708649,2293.708649,2293.708649,2293.708649,2293.708649,2293.708649,2293.708649,2293.708649,2293.708649,2293.708649,2293.708649,0,0.26877
7,29.558411,722,0.421037,45,100,1,2293.731504,2293.731504,2293.731504,2293.731504,2293.731504,2293.731504,2293.731504,2293.731504,2293.731504,2293.731504,2293.731504,2293.731504,0,0.3068365
8,30.839879,722,0.192636,45,100,1,2293.729264,2293.729264,2293.729264,2293.729264,2293.729264,2293.729264,2293.729264,2293.729264,2293.729264,2293.729264,2293.729264,2293.729264,0,0.2687695
9,32.259771,722,0.344903,45,100,1,2293.708649,2293.708649,2293.708649,2293.708649,2293.708649,2293.708649,2293.708649,2293.708649,2293.708649,2293.708649,2293.708649,2293.708649,0,0.3639365
10,33.768125,722,0.38297,45,100,1,2293.703271,2293.703271,2293.703271,2293.703271,2293.703271,2293.703271,2293.703271,2293.703271,2293.703271,2293.703271,2293.703271,2293.703271,0,0.38297
11,35.437898,722,0.38297,45,100,1,2293.704167,2293.704167,2293.704167,2293.704167,2293.704167,2293.704167,2293.704167,2293.704167,2293.704167,2293.704167,2293.704167,2293.704167,0,0.3449035
12,37.114445,722,0.306837,45,100,1,2293.711786,2293.711786,2293.711786,2293.711786,2293.711786,2293.711786,2293.711786,2293.711786,2293.711786,2293.711786,2293.711786,2293.711786,0,0.3449035
13,38.830566,722,0.38297,45,100,1,2293.709097,2293.709097,2293.709097,2293.709097,2293.709097,2293.709097,2293.709097,2293.709097,2293.709097,2293.709097,2293.709097,2293.709097,0,0.3068365
14,40.762544,722,0.230703,45,100,1,2293.720749,2293.720749,2293.720749,2293.720749,2293.720749,2293.720749,2293.720749,2293.720749,2293.720749,2293.720749,2293.720749,2293.720749,0,0.287803
15,42.709922,722,0.344903,45,100,1,2293.715371,2293.715371,2293.715371,2293.715371,2293.715371,2293.715371,2293.715371,2293.715371,2293.715371,2293.715371,2293.715371,2293.715371,0,0.535237
16,44.646232,722,0.725571,45,100,1,2293.711786,2293.711786,2293.711786,2293.711786,2293.711786,2293.711786,2293.711786,2293.711786,2293.711786,2293.711786,2293.711786,2293.711786,0,0.6494375
17,46.691108,722,0.573304,45,100,1,2293.706856,2293.706856,2293.706856,2293.706856,2293.706856,2293.706856,2293.706856,2293.706856,2293.706856,2293.706856,2293.706856,2293.706856,0,0.611371
18,48.761761,722,0.649438,45,100,1,2293.707304,2293.707304,2293.707304,2293.707304,2293.707304,2293.707304,2293.707304,2293.707304,2293.707304,2293.707304,2293.707304,2293.707304,0,0.706538
19,50.876988,722,0.763638,45,100,1,2293.709097,2293.709097,2293.709097,2293.709097,2293.709097,2293.709097,2293.709097,2293.709097,2293.709097,2293.709097,2293.709097,2293.709097,0,0.8778385
20,53.136823,722,0.992039,45,100,1,2293.714475,2293.714475,2293.714475,2293.714475,2293.714475,2293.714475,2293.714475,2293.714475,2293.714475,2293.714475,2293.714475,2293.714475,0,1.049139
21,55.407322,722,1.106239,45,100,1,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,2293.71313,0,1.1252725
22,57.71975,722,1.144306,45,100,1,2293.707304,2293.707304,2293.707304,2293.707304,2293.707304,2293.707304,2293.707304,2293.707304,2293.707304,2293.707304,2293.707304,2293.707304,0,1.106239
23,60.007174,722,1.068172,45,100,1,2293.698342,2293.698342,2293.698342,2293.698342,2293.698342,2293.698342,2293.698342,2293.698342,2293.698342,2293.698342,2293.698342,2293.698342,0,1.163339
24,62.324716,722,1.258506,45,100,1,2293.71089,2293.71089,2293.71089,2293.71089,2293.71089,2293.71089,2293.71089,2293.71089,2293.71089,2293.71089,2293.71089,2293.71089,0,1.2775395
25,64.74972,722,1.296573,45,100,1,2293.701479,2293.701479,2293.701479,2293.701479,2293.701479,2293.701479,2293.701479,2293.701479,2293.701479,2293.701479,2293.701479,2293.701479,0,1.2775395
26,67.121544,722,1.258506,45,100,1,2293.714475,2293.714475,2293.714475,2293.714475,2293.714475,2293.714475,2293.714475,2293.714475,2293.714475,2293.714475,2293.714475,2293.714475,0,1.4107735
27,69.626668,722,1.563041,45,100,1,2293.707304,2293.707304,2293.707304,2293.707304,2293.707304,2293.707304,2293.707304,2293.707304,2293.707304,2293.707304,2293.707304,2293.707304,0,1.524974
28,72.080276,722,1.486907,45,100,1,2293.702375,2293.702375,2293.702375,2293.702375,2293.702375,2293.702375,2293.702375,2293.702375,2293.702375,2293.702375,2293.702375,2293.702375,0,1.44884
29,74.619297,722,1.410773,45,100,1,2293.701927,2293.701927,2293.701927,2293.701927,2293.701927,2293.701927,2293.701927,2293.701927,2293.701927,2293.701927,2293.701927,2293.701927,0,1.3346395
30,77.210339,722,1.258506,45,100,1,2293.713579,2293.713579,2293.713579,2293.713579,2293.713579,2293.713579,2293.713579,2293.713579,2293.713579,2293.713579,2293.713579,2293.713579,0,1.3727065
31,79.846013,722,1.486907,45,100,1,2293.708649,2293.708649,2293.708649,2293.708649,2293.708649,2293.708649,2293.708649,2293.708649,2293.708649,2293.708649,2293.708649,2293.708649,0,1.544007
32,82.508207,722,1.601107,45,100,1,2293.713579,2293.713579,2293.713579,2293.713579,2293.713579,2293.713579,2293.713579,2293.713579,2293.713579,2293.713579,2293.713579,2293.713579,0,1.6772405
33,85.120098,722,1.753374,45,100,1,2293.708201,2293.708201,2293.708201,2293.708201,2293.708201,2293.708201,2293.708201,2293.708201,2293.708201,2293.708201,2293.708201,2293.708201,0,1.8104745
34,87.800123,722,1.867575,45,100,1,2293.714475,2293.714475,2293.714475,2293.714475,2293.714475,2293.714475,2293.714475,2293.714475,2293.714475,2293.714475,2293.714475,2293.714475,0,1.829508
35,90.451213,722,1.791441,45,100,1,2293.705512,2293.705512,2293.705512,2293.705512,2293.705512,2293.705512,2293.705512,2293.705512,2293.705512,2293.705512,2293.705512,2293.705512,0,1.886608
36,93.173345,722,1.981775,45,100,1,2293.711786,2293.711786,2293.711786,2293.711786,2293.711786,2293.711786,2293.711786,2293.711786,2293.711786,2293.711786,2293.711786,2293.711786,0,1.886608
37,95.907261,722,1.791441,45,100,1,2293.710442,2293.710442,2293.710442,2293.710442,2293.710442,2293.710442,2293.710442,2293.710442,2293.710442,2293.710442,2293.710442,2293.710442,0,1.8485415
38,98.622247,722,1.905642,45,100,1,2293.710442,2293.710442,2293.710442,2293.710442,2293.710442,2293.710442,2293.710442,2293.710442,2293.710442,2293.710442,2293.710442,2293.710442,0,1.9817755
39,101.361319,722,2.057909,45,100,1,2293.710442,2293.710442,2293.710442,2293.710442,2293.710442,2293.710442,2293.710442,2293.710442,2293.710442,2293.710442,2293.710442,2293.710442,0,2.248243
