"Time","Temperature","T_Setpoint","Heat Flux","HF_Setpoint","duty cycle","control mode","TC11","TC12","TC13","TC14","TC15","TC16","TC17","TC18","TC19","TC20","hours"
0,21.781868,20,0.054421,0,19.348729,1,21.724499,21.702059,21.673835,21.637282,21.582219,21.580368,21.571345,21.558851,21.572502,21.500314,0
1,21.777936,22.475,0.050998,0.125,21.783366,1,21.72126,21.706917,21.674529,21.650932,21.579443,21.584533,21.572502,21.571345,21.572733,21.497769,0.000277777777777778
2,21.803844,24.95,0.056298,0.25,24.369665,1,21.713626,21.695119,21.665276,21.63173,21.569032,21.578517,21.572039,21.561165,21.56371,21.507718,0.000555555555555556
3,21.868148,27.425,0.055083,0.375,27.063013,1,21.725193,21.697432,21.672447,21.646305,21.584764,21.581294,21.572965,21.56533,21.565792,21.496612,0.000833333333333333
4,22.000447,29.9,0.056298,0.5,29.852959,1,21.719409,21.694656,21.675223,21.641909,21.579212,21.585227,21.558851,21.563941,21.564404,21.491521,0.00111111111111111
5,22.182911,32.375,0.055304,0.625,32.706949,1,21.707611,21.686097,21.653014,21.629416,21.560934,21.5688,21.572271,21.552373,21.568106,21.48967,0.00138888888888889
6,22.421296,34.85,0.06226,0.75,35.63953,1,21.727506,21.706917,21.67291,21.64376,21.597258,21.596564,21.581757,21.570651,21.579906,21.507718,0.00166666666666667
7,22.731976,37.325,0.062371,0.875,38.642001,1,21.720335,21.700208,21.666201,21.646768,21.578286,21.580137,21.581062,21.564636,21.567412,21.498463,0.00194444444444444
8,23.074225,39.8,0.057181,1,41.694425,1,21.725424,21.705529,21.671985,21.646536,21.576898,21.581062,21.574584,21.570882,21.576435,21.508181,0.00222222222222222
9,23.485201,42.275,0.058506,1.125,44.834643,1,21.715939,21.699283,21.674529,21.640753,21.574816,21.577361,21.569726,21.567181,21.570188,21.496149,0.0025
10,23.944279,44.75,0.052544,1.25,48.02271,1,21.715245,21.692805,21.669208,21.636126,21.5688,21.573427,21.571808,21.566024,21.556075,21.502859,0.00277777777777778
11,24.473551,47.225,0.054973,1.375,51.276008,1,21.730051,21.70738,21.679619,21.649313,21.585227,21.58569,21.564636,21.571114,21.574584,21.501702,0.00305555555555556
12,25.080294,49.7,0.060825,1.5,54.569157,1,21.717327,21.690723,21.675455,21.632424,21.581294,21.569726,21.570188,21.553067,21.556075,21.502165,0.00333333333333333
13,25.736256,52.175,0.056629,1.625,57.89078,1,21.709693,21.68332,21.659955,21.627103,21.567875,21.569726,21.551679,21.552836,21.557463,21.488051,0.00361111111111111
14,26.428905,54.65,0.056187,1.75,61.265608,1,21.705992,21.684477,21.671985,21.640753,21.571577,21.567181,21.568337,21.557695,21.555612,21.486894,0.00388888888888889
15,27.219857,57.125,0.055635,1.875,64.703788,1,21.720797,21.684246,21.673373,21.644686,21.5688,21.569726,21.568337,21.552836,21.554918,21.494298,0.00416666666666667
16,28.080832,59.6,0.056629,2,68.139953,1,21.704141,21.684246,21.669671,21.635894,21.566718,21.562785,21.561628,21.547746,21.554224,21.480184,0.00444444444444444
17,29.034405,62.075,0.063365,2.125,71.597709,1,21.720797,21.695119,21.68332,21.65232,21.577361,21.575741,21.57042,21.558851,21.560471,21.498926,0.00472222222222222
18,30.051856,64.55,0.05939,2.25,75.049964,1,21.714783,21.686559,21.682395,21.643298,21.572039,21.562785,21.559314,21.549828,21.558851,21.49129,0.005
19,31.164188,67.025,0.057512,2.375,78.521089,1,21.704372,21.67638,21.684015,21.656947,21.571808,21.552604,21.557463,21.549597,21.549365,21.488513,0.00527777777777778
20,32.371099,69.5,0.060825,2.5,81.975673,1,21.704604,21.680776,21.683089,21.650469,21.565098,21.552604,21.562322,21.543118,21.548903,21.484117,0.00555555555555556
21,33.621252,71.975,0.053979,2.625,85.408753,1,21.709925,21.672679,21.684477,21.665507,21.568337,21.562322,21.556306,21.543118,21.546126,21.482035,0.00583333333333333
22,34.951977,74.45,0.057071,2.75,88.86784,1,21.701134,21.671522,21.692805,21.666201,21.566949,21.558389,21.552836,21.536408,21.557232,21.479027,0.00611111111111111
23,36.362532,76.925,0.06491,2.875,92.312165,1,21.724499,21.674992,21.703447,21.685171,21.586615,21.558389,21.557695,21.552836,21.555381,21.489439,0.00638888888888889
24,37.899573,79.4,0.062702,3,95.738013,1,21.709462,21.670365,21.701596,21.68494,21.575278,21.556306,21.543812,21.537565,21.544506,21.470465,0.00666666666666667
25,39.530296,81.875,0.057512,3.125,99.092997,1,21.721954,21.684246,21.715245,21.702059,21.587309,21.558157,21.556306,21.549365,21.54844,21.471391,0.00694444444444444
26,41.214357,84.35,0.059721,3.25,100,1,21.727506,21.674992,21.730745,21.721029,21.60096,21.563247,21.554918,21.543581,21.555149,21.480184,0.00722222222222222
27,42.923227,86.825,0.059058,3.375,100,1,21.743237,21.687947,21.745319,21.734909,21.603504,21.553761,21.558851,21.543581,21.554918,21.479258,0.0075
28,44.743433,89.3,0.061377,3.5,100,1,21.756191,21.686791,21.761512,21.757579,21.616692,21.562322,21.562322,21.550291,21.554224,21.483192,0.00777777777777778
